stop_id,stop_name,stop_lat,stop_lon
33857,Münzesheim,49.12608,8.716007
273093,Münzesheim,49.12608,8.716007
203653,Münzesheim Ost,49.12149,8.726215
422690,Münzesheim Ost,49.12149,8.726215
89171,Nackenheim,49.919106,8.341885
482449,Nackenheim,49.919106,8.341885
113092,Nassau(Lahn),50.31148,7.800691
152103,Nassau(Lahn),50.31148,7.800691
160433,Nauheim(b Gr.Gerau),49.94214,8.449929
642256,Nauheim(b Gr.Gerau),49.94214,8.449929
436437,Neckarbischofsheim Nord,49.30699,8.942342
478217,Neckarbischofsheim Nord,49.30699,8.942342
174379,Neckarburken,49.378204,9.163236
362741,Neckarburken,49.378204,9.163236
305370,Neckargemünd,49.393677,8.788425
306162,Neckargemünd,49.393677,8.788425
115848,Neckargemünd Altstadt,49.39239,8.802954
306719,Neckargemünd Altstadt,49.39239,8.802954
39903,Neckargerach,49.397907,9.074704
192741,Neckargerach,49.397907,9.074704
496379,Neckarhausen bei Neckarsteinach,49.416954,8.879703
640337,Neckarhausen bei Neckarsteinach,49.416954,8.879703
481913,Neckarsteinach,49.404907,8.841429
583122,Neckarsteinach,49.404907,8.841429
219407,Neckarsulm,49.189,9.219788
274093,Neckarsulm,49.189,9.219788
253919,Neckarsulm Mitte,49.193077,9.222717
555530,Neckarsulm Mitte,49.193077,9.222717
418960,Neckarsulm Nord,49.202095,9.228679
437261,Neckarsulm Nord,49.202095,9.228679
24293,Neckarsulm Süd,49.18033,9.220743
455155,Neckarsulm Süd,49.18033,9.220743
112014,Neckarzimmern,49.3169,9.137015
217860,Neckarzimmern,49.3169,9.137015
128103,Neidenfels,49.3862,8.045236
438258,Neidenfels,49.3862,8.045236
124619,Neidenstein,49.320236,8.890152
660470,Neidenstein,49.320236,8.890152
135946,Neu-Anspach,50.30096,8.51473
420071,Neu-Anspach,50.30096,8.51473
267975,Neu-Edingen/Friedrichsfeld,49.44867,8.580125
590467,Neu-Edingen/Friedrichsfeld,49.44867,8.580125
172796,Neu-Isenburg,50.05305,8.665609
435678,Neu-Isenburg,50.05305,8.665609
165286,Neudenau,49.28856,9.272064
485991,Neudenau,49.28856,9.272064
278927,Neuenstein,49.206135,9.583919
284561,Neuhof(Kr Fulda),50.45434,9.620322
238601,Neulußheim,49.2922,8.530075
438745,Neulußheim,49.2922,8.530075
359719,Neunkirchen(Kr Siegen),50.784702,8.006101
518243,"Neureut Adolf-Ehrmann-Bad, Karlsruhe",49.050827,8.385261
618757,"Neureut Adolf-Ehrmann-Bad, Karlsruhe",49.050827,8.385261
111912,Neustadt(Kr Marburg),50.85045,9.120643
293888,Neustadt(Weinstr) Süd,49.341553,8.157061
393231,Neustadt(Weinstr) Süd,49.341553,8.157061
212326,Neustadt(Weinstr)Hbf,49.349552,8.140757
355202,Neustadt(Weinstr)Hbf,49.349552,8.140757
26722,"Neustadt, Hauptbahnhof",49.349648,8.141584
227129,"Neustadt, Hauptbahnhof",49.349648,8.141584
84237,Neustadt-Böbig,49.354244,8.158313
259611,Neustadt-Böbig,49.354244,8.158313
311028,Nidda,50.411278,8.999197
659331,Nidda,50.411278,8.999197
181448,Nidderau,50.230827,8.880233
467438,Nidderau,50.230827,8.880233
304659,Nidderau-Eichen,50.255947,8.917491
508572,Nidderau-Eichen,50.255947,8.917491
80075,Nidderau-Windecken,50.225002,8.875676
102454,Nidderau-Windecken,50.225002,8.875676
413287,Nieder Flörsheim-Dalsheim,49.656902,8.204274
446181,Nieder Flörsheim-Dalsheim,49.656902,8.204274
117114,Nieder Olm,49.90553,8.20496
353216,Nieder Olm,49.90553,8.20496
10742,Nieder Wöllstadt,50.280296,8.767573
311008,Nieder Wöllstadt,50.280296,8.767573
268199,Nieder-Ohmen,50.644966,9.034133
498152,Nieder-Ohmen,50.644966,9.034133
116629,Niederbrechen,50.359596,8.159856
324488,Niederbrechen,50.359596,8.159856
69460,Niederdorfelden,50.193165,8.809034
385507,Niederdorfelden,50.193165,8.809034
623574,Niederdreisbach,50.755516,7.922511
269052,Niederdresselndorf,50.72121,8.136394
339996,Niedererbach,50.425076,7.97687
370236,Niedererbach,50.425076,7.97687
292153,Niederhadamar,50.43276,8.037069
523218,Niederhadamar,50.43276,8.037069
236804,Niederheimbach,50.036064,7.805471
547410,Niederheimbach,50.036064,7.805471
97889,Niederhöchstadt,50.154198,8.547237
443897,Niederhöchstadt,50.154198,8.547237
366396,Niederhövels,50.78629,7.788525
202245,Niederjosbach,50.149807,8.351017
274791,Niederjosbach,50.149807,8.351017
104643,Niederlahnstein,50.31639,7.599503
543683,Niederlahnstein,50.31639,7.599503
136664,Niedermittlau,50.178608,9.109264
146744,Niedermittlau,50.178608,9.109264
209700,Niedernhausen(Taunus),50.1597,8.312879
323011,Niedernhausen(Taunus),50.1597,8.312879
17098,Niederscheld(Dillkr)Süd,50.71773,8.3033
528171,Niederschelden,50.83925,7.965509
661881,Niederschelden Nord,50.84419,7.970657
593753,Niederselters,50.332542,8.22998
665768,Niederselters,50.332542,8.22998
380215,Niedersteinbach,50.086597,9.148562
472363,Niedersteinbach,50.086597,9.148562
374468,Niederstetten,49.403572,9.915079
561871,Niederwalgern,50.7366,8.708379
139643,Niederweimar,50.756744,8.73382
213546,Niederzeuzheim,50.468224,8.039687
533195,Niederzeuzheim,50.468224,8.039687
8019,Nierstein,49.872,8.34281
134785,Nierstein,49.872,8.34281
194653,Nievern,50.337383,7.681876
399721,Nievern,50.337383,7.681876
507754,Niklashausen,49.7017,9.613916
379879,Nistertal-Bad Marienberg,50.632114,7.90058
433341,Nistertal-Bad Marienberg,50.632114,7.90058
22372,Nordheim(Württ),49.109383,9.148811
255554,Nordheim(Württ),49.109383,9.148811
124106,Norheim,49.808807,7.812291
457305,Norheim,49.808807,7.812291
416280,Ober Ramstadt,49.83205,8.743744
534194,Ober Ramstadt,49.83205,8.743744
250298,Oberbimbach,50.57701,9.564232
188353,Oberbrechen,50.3545,8.187801
549633,Oberbrechen,50.3545,8.187801
65232,Oberderdingen-Flehingen,49.08397,8.775007
184220,Oberderdingen-Flehingen,49.08397,8.775007
158098,Obererbach,50.71991,7.659393
281921,Obernau,49.934536,9.136088
502222,Obernau,49.934536,9.136088
116330,Obernburg-Elsenfeld,49.840736,9.154222
143454,Obernburg-Elsenfeld,49.840736,9.154222
156761,Oberndorf(Wittgenstein),50.95224,8.300167
583532,Obernhof(Lahn),50.315945,7.853004
605716,Obernhof(Lahn),50.315945,7.853004
507052,Oberschefflenz,49.416924,9.27885
514643,Oberschefflenz,49.416924,9.27885
80558,Obersinn,50.20902,9.617798
218675,Obertshausen(Kr Of),50.072227,8.853417
273020,Obertshausen(Kr Of),50.072227,8.853417
308834,Oberursel(Taunus),50.199425,8.589409
539967,Oberursel(Taunus),50.199425,8.589409
89288,Oberursel-Stierstadt,50.185688,8.584694
538550,Oberursel-Stierstadt,50.185688,8.584694
134301,Oberursel-Weißkirchen/Steinbach,50.173244,8.586918
318763,Oberursel-Weißkirchen/Steinbach,50.173244,8.586918
200744,Oberwesel,50.10446,7.731542
584366,Oberwesel,50.10446,7.731542
110049,Oberzent-Hetzbach,49.5949,8.992856
296959,Oberzent-Hetzbach,49.5949,8.992856
265550,Oberzent-Kailbach,49.539337,9.077482
352130,Oberzent-Kailbach,49.539337,9.077482
437987,Oberzent-Schöllenbach,49.565937,9.067626
472056,Oberzent-Schöllenbach,49.565937,9.067626
61237,Oberöwisheim,49.14006,8.686232
456613,Oberöwisheim,49.14006,8.686232
92957,Ockenheim,49.950554,7.965441
576736,Ockenheim,49.950554,7.965441
329296,Odenheim Bf,49.17902,8.746388
495282,Odenheim Bf,49.17902,8.746388
211409,Odenheim West,49.182274,8.736492
434378,Odenheim West,49.182274,8.736492
132315,Offenau,49.246414,9.165293
258244,Offenau,49.246414,9.165293
559335,Offenbach(Main) Kaiserlei,50.105247,8.738471
665105,Offenbach(Main) Kaiserlei,50.105247,8.738471
261112,Offenbach(Main) Ledermuseum,50.105988,8.750485
663992,Offenbach(Main) Ledermuseum,50.105988,8.750485
113468,Offenbach(Main) Marktplatz,50.105854,8.763633
235437,Offenbach(Main) Marktplatz,50.105854,8.763633
30936,Offenbach(Main)Hbf,50.099262,8.760743
129437,Offenbach(Main)Hbf,50.099262,8.760743
110454,Offenbach(Main)Ost,50.10271,8.784424
617171,Offenbach(Main)Ost,50.10271,8.784424
9013,Offenbach-Bieber,50.09042,8.808589
444134,Offenbach-Bieber,50.09042,8.808589
487909,Offenbach-Waldhof,50.08169,8.828938
535884,Offenbach-Waldhof,50.08169,8.828938
530393,Oftersheim,49.373505,8.579013
628245,Oftersheim,49.373505,8.579013
27210,Okarben,50.252663,8.75335
512630,Okarben,50.252663,8.75335
174875,Olpe,51.027737,7.841447
561982,Olsbrücken,49.53807,7.652759
581682,Olsbrücken,49.53807,7.652759
145810,Oppenheim,49.85756,8.358078
624939,Oppenheim,49.85756,8.358078
129618,Osterburken,49.429657,9.422692
75582,Ostheim(Kr Hanau),50.2191,8.903381
198726,Ostheim(Kr Hanau),50.2191,8.903381
255358,Ostheim(b Butzbach),50.406467,8.675299
489946,Ostheim(b Butzbach),50.406467,8.675299
148046,Osthofen,49.70542,8.325988
534159,Osthofen,49.70542,8.325988
18033,Otzberg Lengfeld,49.839455,8.902737
462857,Otzberg Lengfeld,49.839455,8.902737
511780,Partenstein,50.03838,9.52399
132503,Pfungstadt,49.806225,8.607033
300299,Pfungstadt,49.806225,8.607033
55127,Philippsburg(Baden),49.23162,8.454023
339981,Philippsburg(Baden),49.23162,8.454023
64483,Pirmasens Hbf,49.205647,7.598432
501724,Pirmasens Hbf,49.205647,7.598432
140195,Pirmasens Nord,49.259216,7.604401
274759,Pirmasens Nord,49.259216,7.604401
394576,Ramsen,49.535187,8.022562
430359,Ramsen,49.535187,8.022562
71904,Ramstein,49.448753,7.556715
439291,Ramstein,49.448753,7.556715
432303,Ranstadt,50.35673,8.983134
616639,Ranstadt,50.35673,8.983134
242291,Raunheim,50.009712,8.454604
503772,Raunheim,50.009712,8.454604
19615,Reckweilerhof,49.606915,7.609127
102848,Reckweilerhof,49.606915,7.609127
195105,Reichelsheim(Wett),50.360054,8.874641
